response_ID,respondent_ID,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11
1,1,5,school,5,One-on-one,school,0,1,2,0,0,0
2,2,2,home,6,One-on-one,school,18,2,5,1,1,10
3,3,6,school,5,One-on-one,school,7,1,3,0,0,0
4,4,3,home,5,One-on-one,school,10,100,1,6,2,15
5,5,6,school,6,One-on-one,school,12,15,3,1,1,0
6,6,7,school,4,Group,school,0,0,4,1,2,10
7,7,2,school,3,One-on-one,home,30,0,1,0,0,10
8,8,7,school,7,Group,school,0,2,3,0,0,0
9,9,3,home,3,One-on-one,home,12,4,4,2,4,20
10,10,2,school,4,One-on-one,home,18,18,5,1,1,50
11,11,8,school,5,One-on-one,school,0,4,2,1,0,0
12,12,3,other,5,One-on-one,school,18,4,3,1,2,10
13,13,4,school,4,One-on-one,school,90,0,0,1,1,0
14,14,8,home,6,One-on-one,home,2,6,5,0,0,0
15,15,8,school,7,One-on-one,school,0,20,2,1,1,10
16,16,3,Unclear,4,Unclear,home,9,0,24,4,6,10
17,17,2,home,4,One-on-one,school,12,12,4,1,4,35
18,18,6,school,6,One-on-one,school,0,6,2,0,0,0
19,19,7,school,6,Group,school,30,0,4,1,0,15
20,20,8,other,7,Group,home,1,2,4,0,0,20
21,21,7,School,5,One-on-one,school,0,0,2,0,0,0
22,22,2,Home,4,One-on-one,home,50,12,3,2,1,20
23,23,6,Unclear,5,One-on-one,school,0,0,0,0,0,0
24,24,4,School,4,One-on-one,school,25,3,4,1,1,10
25,25,5,Home,7,Group,school,3,3,5,1,2,0
26,26,3,School,5,One-on-one,school,18,1,3,1,1,50
27,27,6,Home,6,One-on-one,home,0,2,5,1,4,0
28,28,3,Other,4,One-on-one,other,15,8,6,2,3,30
29,29,8,School,6,One-on-one,home,2,1,11,1,2,0
30,30,7,Home,6,One-on-one,other,0,0,1,1,1,0
31,31,4,Other,4,One-on-one,school,9,0,4,0,0,0
32,32,6,Unclear,6,Unclear,school,2,1,6,1,2,20
33,33,2,School,8,Group,school,18,3,4,0,0,0
34,34,7,School,7,One-on-one,school,0,4,3,1,2,15
35,35,3,School,5,One-on-one,home,45,0,3,0,0,0
36,36,2,Home,5,One-on-one,home,12,0,5,6,1,0
37,37,8,School,5,One-on-one,school,0,10,6,1,2,10
38,38,10,School,5,One-on-one,school,0,2,2,0,0,0
39,39,4,Home,4,One-on-one,school,10,11,3,3,4,10
40,40,6,School,6,One-on-one,home,0,28,6,1,1,15
41,41,2,Home,3,One-on-one,school,0,90,3,0,0,0
42,42,5,School,6,One-on-one,home,0,30,2,3,2,18
43,43,3,Other,5,One-on-one,school,6,50,6,1,1,20
44,44,4,Home,4,One-on-one,home,0,25,10,0,0,0
